Gender,Session,Speaker,SubCategory,Recording_Type,Utterance_Path
Females,Session_1,S1,7.Phonetic_Distinctive_Words_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S1/2.Silent_Room/7.Phonetic_Distinctive_Words_2/Yamaha_Mixer.flac
Females,Session_1,S1,8.Common_List,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S1/2.Silent_Room/8.Common_List/Yamaha_Mixer.flac
Females,Session_1,S1,9.Random_List,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S1/2.Silent_Room/9.Random_List/Yamaha_Mixer.flac
Females,Session_1,NS2,1.SAAB_sentences_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS2/2.Silent_Room/1.SAAB_sentences_1/Yamaha_Mixer.flac
Females,Session_1,NS2,1.SAAB_sentences_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS2/2.Silent_Room/1.SAAB_sentences_2/Yamaha_Mixer.flac
Females,Session_1,NS2,10.Questions_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS2/2.Silent_Room/10.Questions_1/Yamaha_Mixer.flac
Females,Session_1,NS2,10.Questions_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS2/2.Silent_Room/10.Questions_2/Yamaha_Mixer.flac
Females,Session_1,NS2,2.Fixed_Sentences,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS2/2.Silent_Room/2.Fixed_Sentences/Yamaha_Mixer.flac
Females,Session_1,NS2,3.Numbers,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS2/2.Silent_Room/3.Numbers/Yamaha_Mixer.flac
Females,Session_1,NS2,4.Common_Words_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS2/2.Silent_Room/4.Common_Words_1/Yamaha_Mixer.flac
Females,Session_1,NS2,4.Common_Words_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS2/2.Silent_Room/4.Common_Words_2/Yamaha_Mixer.flac
Females,Session_1,NS2,5.Rich_Words_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS2/2.Silent_Room/5.Rich_Words_1/Yamaha_Mixer.flac
Females,Session_1,NS2,5.Rich_Words_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS2/2.Silent_Room/5.Rich_Words_2/Yamaha_Mixer.flac
Females,Session_1,NS2,6.Paragraph_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS2/2.Silent_Room/6.Paragraph_1/Yamaha_Mixer.flac
Females,Session_1,NS2,6.Paragraph_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS2/2.Silent_Room/6.Paragraph_2/Yamaha_Mixer.flac
Females,Session_1,NS2,7.Phonetic_Distinctive_Words_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS2/2.Silent_Room/7.Phonetic_Distinctive_Words_1/Yamaha_Mixer.flac
Females,Session_1,NS2,7.Phonetic_Distinctive_Words_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS2/2.Silent_Room/7.Phonetic_Distinctive_Words_2/Yamaha_Mixer.flac
Females,Session_1,NS2,8.Common_List,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS2/2.Silent_Room/8.Common_List/Yamaha_Mixer.flac
Females,Session_1,NS2,9.Random_List,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS2/2.Silent_Room/9.Random_List/Yamaha_Mixer.flac
Females,Session_1,S2,1.SAAB_sentences_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S2/2.Silent_Room/1.SAAB_sentences_1/Yamaha_Mixer.flac
Females,Session_1,S2,1.SAAB_sentences_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S2/2.Silent_Room/1.SAAB_sentences_2/Yamaha_Mixer.flac
Females,Session_1,S2,10.Questions_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S2/2.Silent_Room/10.Questions_1/Yamaha_Mixer.flac
Females,Session_1,S2,10.Questions_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S2/2.Silent_Room/10.Questions_2/Yamaha_Mixer.flac
Females,Session_1,S2,2.Fixed_Sentences,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S2/2.Silent_Room/2.Fixed_Sentences/Yamaha_Mixer.flac
Females,Session_1,S2,3.Numbers,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S2/2.Silent_Room/3.Numbers/Yamaha_Mixer.flac
Females,Session_1,S2,4.Common_Words_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S2/2.Silent_Room/4.Common_Words_1/Yamaha_Mixer.flac
Females,Session_1,S2,4.Common_Words_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S2/2.Silent_Room/4.Common_Words_2/Yamaha_Mixer.flac
Females,Session_1,S2,5.Rich_Words_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S2/2.Silent_Room/5.Rich_Words_1/Yamaha_Mixer.flac
Females,Session_1,S2,5.Rich_Words_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S2/2.Silent_Room/5.Rich_Words_2/Yamaha_Mixer.flac
Females,Session_1,S2,6.Paragraph_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S2/2.Silent_Room/6.Paragraph_1/Yamaha_Mixer.flac
Females,Session_1,S2,6.Paragraph_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S2/2.Silent_Room/6.Paragraph_2/Yamaha_Mixer.flac
Females,Session_1,S2,7.Phonetic_Distinctive_Words_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S2/2.Silent_Room/7.Phonetic_Distinctive_Words_1/Yamaha_Mixer.flac
Females,Session_1,S2,7.Phonetic_Distinctive_Words_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S2/2.Silent_Room/7.Phonetic_Distinctive_Words_2/Yamaha_Mixer.flac
Females,Session_1,S2,8.Common_List,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S2/2.Silent_Room/8.Common_List/Yamaha_Mixer.flac
Females,Session_1,S2,9.Random_List,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S2/2.Silent_Room/9.Random_List/Yamaha_Mixer.flac
Females,Session_1,NS3,1.SAAB_sentences_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS3/2.Silent_Room/1.SAAB_sentences_1/Yamaha_Mixer.flac
Females,Session_1,NS3,1.SAAB_sentences_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS3/2.Silent_Room/1.SAAB_sentences_2/Yamaha_Mixer.flac
Females,Session_1,NS3,10.Questions_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS3/2.Silent_Room/10.Questions_1/Yamaha_Mixer.flac
Females,Session_1,NS3,10.Questions_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS3/2.Silent_Room/10.Questions_2/Yamaha_Mixer.flac
Females,Session_1,NS3,2.Fixed_Sentences,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS3/2.Silent_Room/2.Fixed_Sentences/Yamaha_Mixer.flac
Females,Session_1,NS3,3.Numbers,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS3/2.Silent_Room/3.Numbers/Yamaha_Mixer.flac
Females,Session_1,NS3,4.Common_Words_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS3/2.Silent_Room/4.Common_Words_1/Yamaha_Mixer.flac
Females,Session_1,NS3,4.Common_Words_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS3/2.Silent_Room/4.Common_Words_2/Yamaha_Mixer.flac
Females,Session_1,NS3,5.Rich_Words_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS3/2.Silent_Room/5.Rich_Words_1/Yamaha_Mixer.flac
Females,Session_1,NS3,5.Rich_Words_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS3/2.Silent_Room/5.Rich_Words_2/Yamaha_Mixer.flac
Females,Session_1,NS3,6.Paragraph_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS3/2.Silent_Room/6.Paragraph_1/Yamaha_Mixer.flac
Females,Session_1,NS3,6.Paragraph_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS3/2.Silent_Room/6.Paragraph_2/Yamaha_Mixer.flac
Females,Session_1,NS3,7.Phonetic_Distinctive_Words_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS3/2.Silent_Room/7.Phonetic_Distinctive_Words_1/Yamaha_Mixer.flac
Females,Session_1,NS3,7.Phonetic_Distinctive_Words_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS3/2.Silent_Room/7.Phonetic_Distinctive_Words_2/Yamaha_Mixer.flac
Females,Session_1,NS3,8.Common_List,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS3/2.Silent_Room/8.Common_List/Yamaha_Mixer.flac
Females,Session_1,NS3,9.Random_List,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS3/2.Silent_Room/9.Random_List/Yamaha_Mixer.flac
Females,Session_1,S3,1.SAAB_sentences_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S3/2.Silent_Room/1.SAAB_sentences_1/Yamaha_Mixer.flac
Females,Session_1,S3,1.SAAB_sentences_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S3/2.Silent_Room/1.SAAB_sentences_2/Yamaha_Mixer.flac
Females,Session_1,S3,10.Questions_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S3/2.Silent_Room/10.Questions_1/Yamaha_Mixer.flac
Females,Session_1,S3,10.Questions_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S3/2.Silent_Room/10.Questions_2/Yamaha_Mixer.flac
Females,Session_1,S3,2.Fixed_Sentences,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S3/2.Silent_Room/2.Fixed_Sentences/Yamaha_Mixer.flac
Females,Session_1,S3,3.Numbers,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S3/2.Silent_Room/3.Numbers/Yamaha_Mixer.flac
Females,Session_1,S3,4.Common_Words_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S3/2.Silent_Room/4.Common_Words_1/Yamaha_Mixer.flac
Females,Session_1,S3,4.Common_Words_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S3/2.Silent_Room/4.Common_Words_2/Yamaha_Mixer.flac
Females,Session_1,S3,5.Rich_Words_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S3/2.Silent_Room/5.Rich_Words_1/Yamaha_Mixer.flac
Females,Session_1,S3,5.Rich_Words_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S3/2.Silent_Room/5.Rich_Words_2/Yamaha_Mixer.flac
Females,Session_1,S3,6.Paragraph_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S3/2.Silent_Room/6.Paragraph_1/Yamaha_Mixer.flac
Females,Session_1,S3,6.Paragraph_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S3/2.Silent_Room/6.Paragraph_2/Yamaha_Mixer.flac
Females,Session_1,S3,7.Phonetic_Distinctive_Words_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S3/2.Silent_Room/7.Phonetic_Distinctive_Words_1/Yamaha_Mixer.flac
Females,Session_1,S3,7.Phonetic_Distinctive_Words_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S3/2.Silent_Room/7.Phonetic_Distinctive_Words_2/Yamaha_Mixer.flac
Females,Session_1,S3,8.Common_List,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S3/2.Silent_Room/8.Common_List/Yamaha_Mixer.flac
Females,Session_1,S3,9.Random_List,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S3/2.Silent_Room/9.Random_List/Yamaha_Mixer.flac
Females,Session_1,NS4,1.SAAB_sentences_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS4/2.Silent_Room/1.SAAB_sentences_1/Yamaha_Mixer.flac
Females,Session_1,NS4,1.SAAB_sentences_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS4/2.Silent_Room/1.SAAB_sentences_2/Yamaha_Mixer.flac
Females,Session_1,NS4,10.Questions_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS4/2.Silent_Room/10.Questions_1/Yamaha_Mixer.flac
Females,Session_1,NS4,10.Questions_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS4/2.Silent_Room/10.Questions_2/Yamaha_Mixer.flac
Females,Session_1,NS4,2.Fixed_Sentences,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS4/2.Silent_Room/2.Fixed_Sentences/Yamaha_Mixer.flac
Females,Session_1,NS4,3.Numbers,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS4/2.Silent_Room/3.Numbers/Yamaha_Mixer.flac
Females,Session_1,NS4,4.Common_Words_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS4/2.Silent_Room/4.Common_Words_1/Yamaha_Mixer.flac
Females,Session_1,NS4,4.Common_Words_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS4/2.Silent_Room/4.Common_Words_2/Yamaha_Mixer.flac
Females,Session_1,NS4,5.Rich_Words_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS4/2.Silent_Room/5.Rich_Words_1/Yamaha_Mixer.flac
Females,Session_1,NS4,5.Rich_Words_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS4/2.Silent_Room/5.Rich_Words_2/Yamaha_Mixer.flac
Females,Session_1,NS4,6.Paragraph_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS4/2.Silent_Room/6.Paragraph_1/Yamaha_Mixer.flac
Females,Session_1,NS4,6.Paragraph_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS4/2.Silent_Room/6.Paragraph_2/Yamaha_Mixer.flac
Females,Session_1,NS4,7.Phonetic_Distinctive_Words_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS4/2.Silent_Room/7.Phonetic_Distinctive_Words_1/Yamaha_Mixer.flac
Females,Session_1,NS4,7.Phonetic_Distinctive_Words_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS4/2.Silent_Room/7.Phonetic_Distinctive_Words_2/Yamaha_Mixer.flac
Females,Session_1,NS4,8.Common_List,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS4/2.Silent_Room/8.Common_List/Yamaha_Mixer.flac
Females,Session_1,NS4,9.Random_List,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS4/2.Silent_Room/9.Random_List/Yamaha_Mixer.flac
Females,Session_1,S4,1.SAAB_sentences_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S4/2.Silent_Room/1.SAAB_sentences_1/Yamaha_Mixer.flac
Females,Session_1,S4,1.SAAB_sentences_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S4/2.Silent_Room/1.SAAB_sentences_2/Yamaha_Mixer.flac
Females,Session_1,S4,10.Questions_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S4/2.Silent_Room/10.Questions_1/Yamaha_Mixer.flac
Females,Session_1,S4,10.Questions_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S4/2.Silent_Room/10.Questions_2/Yamaha_Mixer.flac
Females,Session_1,S4,2.Fixed_Sentences,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S4/2.Silent_Room/2.Fixed_Sentences/Yamaha_Mixer.flac
Females,Session_1,S4,3.Numbers,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S4/2.Silent_Room/3.Numbers/Yamaha_Mixer.flac
Females,Session_1,S4,4.Common_Words_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S4/2.Silent_Room/4.Common_Words_1/Yamaha_Mixer.flac
Females,Session_1,S4,4.Common_Words_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S4/2.Silent_Room/4.Common_Words_2/Yamaha_Mixer.flac
Females,Session_1,S4,5.Rich_Words_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S4/2.Silent_Room/5.Rich_Words_1/Yamaha_Mixer.flac
Females,Session_1,S4,5.Rich_Words_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S4/2.Silent_Room/5.Rich_Words_2/Yamaha_Mixer.flac
Females,Session_1,S4,6.Paragraph_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S4/2.Silent_Room/6.Paragraph_1/Yamaha_Mixer.flac
Females,Session_1,S4,6.Paragraph_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S4/2.Silent_Room/6.Paragraph_2/Yamaha_Mixer.flac
Females,Session_1,S4,7.Phonetic_Distinctive_Words_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S4/2.Silent_Room/7.Phonetic_Distinctive_Words_1/Yamaha_Mixer.flac
Females,Session_1,S4,7.Phonetic_Distinctive_Words_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S4/2.Silent_Room/7.Phonetic_Distinctive_Words_2/Yamaha_Mixer.flac
Females,Session_1,S4,8.Common_List,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S4/2.Silent_Room/8.Common_List/Yamaha_Mixer.flac
Females,Session_1,S4,9.Random_List,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/S4/2.Silent_Room/9.Random_List/Yamaha_Mixer.flac
Females,Session_1,NS5,1.SAAB_sentences_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS5/2.Silent_Room/1.SAAB_sentences_1/Yamaha_Mixer.flac
Females,Session_1,NS5,1.SAAB_sentences_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS5/2.Silent_Room/1.SAAB_sentences_2/Yamaha_Mixer.flac
Females,Session_1,NS5,10.Questions_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS5/2.Silent_Room/10.Questions_1/Yamaha_Mixer.flac
Females,Session_1,NS5,10.Questions_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS5/2.Silent_Room/10.Questions_2/Yamaha_Mixer.flac
Females,Session_1,NS5,2.Fixed_Sentences,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS5/2.Silent_Room/2.Fixed_Sentences/Yamaha_Mixer.flac
Females,Session_1,NS5,3.Numbers,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS5/2.Silent_Room/3.Numbers/Yamaha_Mixer.flac
Females,Session_1,NS5,4.Common_Words_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS5/2.Silent_Room/4.Common_Words_1/Yamaha_Mixer.flac
Females,Session_1,NS5,4.Common_Words_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS5/2.Silent_Room/4.Common_Words_2/Yamaha_Mixer.flac
Females,Session_1,NS5,5.Rich_Words_1,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS5/2.Silent_Room/5.Rich_Words_1/Yamaha_Mixer.flac
Females,Session_1,NS5,5.Rich_Words_2,Yamaha_Mixer,/export/corpora5/LDC/LDC2014S02/data/Females/Session_1/NS5/2.Silent_Room/5.Rich_Words_2/Yamaha_Mixer.flac
